,scenario,num_agents,Solved,Length,Reduction,Pibt solve time,Solve time
175,room-32-32-4-random-19,10,True,267.21876927137134,6.237366709228706,0.065,0.0885
176,ht_chantry-random-9,4,True,339.66693732908107,12.094264445361143,0.1843,0.206
177,empty-8-8-random-8,2,True,13.950844619618653,3.6895158665705194,0.0017,0.0026
178,maze-128-128-1-random-24,15,False,5139.806231185404,11.183579900027585,0.592,1.0502
179,lt_gallowstemplar_n-random-10,10,True,982.577191097478,0.9375304555424121,0.4444,0.5109
180,orz900d-random-16,20,False,18395.283182124967,0.1618333245545146,14.5384,16.5405
181,random-64-64-20-random-14,15,True,616.4220518762514,8.211190887036489,0.2816,0.3194
182,den312d-random-15,10,True,611.3213686617606,4.072785211971741,0.1688,0.2105
183,empty-16-16-random-10,15,True,178.76450198781717,0.9183249056797337,0.0315,0.0421
184,ost003d-random-20,100,True,13685.492058973328,6.205269110275345,12.2031,14.8741
185,lak303d-random-20,20,True,2287.4424162748405,9.835042804736798,1.2105,1.4276
186,ht_chantry-random-18,15,True,1511.5071571737399,12.922669046563875,0.7005,0.792
187,Paris_1_256-random-25,4,True,445.7696248023107,9.772524221168364,0.6771,0.7063
188,room-32-32-4-random-4,15,True,436.4775645314048,5.688897826783918,0.0746,0.1069
189,random-32-32-20-random-6,2,True,16.31370849898476,13.681775340026583,0.003,0.004
190,random-64-64-10-random-23,2,True,76.51876310845647,11.080345221152696,0.0461,0.0499
191,den312d-random-5,100,True,5801.102669078046,1.028188877392864,1.4052,2.0637
192,den520d-random-5,4,True,673.5004051406133,7.840430394158444,0.6941,0.7401
193,warehouse-10-20-10-2-2-random-16,10,True,977.5451063367854,3.9789532253155264,0.4978,0.5597
194,maze-32-32-4-random-7,4,True,119.72909408745187,12.44821001998917,0.0242,0.0335
195,brc202d-random-18,20,True,10995.420416481866,0.7148575099070782,5.8552,6.7008
196,orz900d-random-12,20,False,18965.544681312516,0.0849723856128863,13.7567,15.3146
197,Boston_0_256-random-2,2,True,350.4596537343666,15.291634617299138,0.6486,0.6762
198,maze-128-128-1-random-20,4,False,2484.3981476869913,11.932004690287442,0.2209,0.3526
199,ht_mansion_n-random-1,100,True,8530.942406375309,3.6170976022632266,4.9797,6.2518
200,ht_chantry-random-14,20,True,2354.311034944719,11.797951362878418,1.1783,1.3103
201,empty-8-8-random-1,15,True,71.49747468305833,0.0,0.0086,0.0156
202,den520d-random-22,2,True,259.51635960221415,18.40985271369078,0.2918,0.3127
203,maze-32-32-4-random-3,2,True,52.651300824111814,12.057374153449151,0.0101,0.0128
204,warehouse-10-20-10-2-2-random-10,2,True,112.13659825944984,2.0723750003331682,0.0716,0.0769
205,ht_mansion_n-random-19,100,True,9655.932459173304,3.444066612555329,5.3,6.4687
206,empty-48-48-random-24,15,True,275.5175751415267,14.711986067134198,0.1378,0.16
207,maze-128-128-2-random-10,10,True,4420.272893623731,13.572884916353466,0.6301,0.9256
208,random-64-64-10-random-24,20,True,776.5357327770408,7.666435864617988,0.4492,0.4958
209,maze-128-128-2-random-7,20,False,10061.837634473697,13.212872443410673,1.3333,2.0285
210,random-32-32-10-random-13,20,True,348.2651568569678,6.034153146640079,0.0977,0.1227
211,warehouse-20-40-10-2-1-random-19,15,True,2956.2770934059126,1.2122879404889069,2.149,2.3611
212,lak303d-random-17,2,True,246.5718629124948,11.619788374794474,0.1493,0.1728
213,orz900d-random-14,4,False,4024.713488034726,0.0,3.0066,4.0182
214,maze-128-128-1-random-24,2,False,1758.6800603783222,12.06599698108389,0.1402,0.2135
215,empty-16-16-random-4,15,True,180.92850656770588,3.4643062028547598,0.0301,0.04
216,maze-32-32-4-random-22,4,True,161.82901866424052,11.882695689199133,0.0297,0.0435
217,room-64-64-16-random-3,100,True,6778.906464573735,2.796283437105468,2.161,3.2925
218,empty-16-16-random-19,2,True,7.335087491092578,22.668741161287898,0.0016,0.0023
219,maze-128-128-2-random-14,4,True,1933.9921202817945,13.658535242484135,0.288,0.3863
220,den520d-random-23,2,True,119.94001407057513,10.584001374673457,0.1061,0.1174
221,den520d-random-24,4,True,689.5458056593068,9.049309951843293,0.5764,0.6207
222,warehouse-10-20-10-2-1-random-18,100,True,9199.608123402375,0.7351560080278321,3.5879,5.4332
223,brc202d-random-17,2,True,296.830895852276,4.279777523983711,0.2283,0.2772
224,random-32-32-10-random-8,100,True,2124.6230194756617,0.43198907437425066,0.5428,0.8474
225,random-32-32-10-random-18,10,True,207.78285938917008,5.439370981353455,0.0602,0.0719
226,maze-32-32-2-random-17,100,True,6412.490579149805,0.7401802865993706,0.5575,1.4555
227,random-64-64-10-random-21,15,True,589.9787560019225,9.564719994721498,0.3436,0.3814
228,random-64-64-20-random-17,4,True,59.25323179364565,15.245600155396433,0.0219,0.0283
229,warehouse-10-20-10-2-2-random-1,20,True,2261.3259465733067,5.9742663980381625,1.2976,1.4553
230,warehouse-10-20-10-2-2-random-25,4,True,348.26441046102207,4.675256596688927,0.2517,0.2804
231,ht_chantry-random-2,2,True,111.5630256386369,12.102415816087792,0.0581,0.0649
232,den520d-random-14,100,True,14471.071476581332,6.884895757002803,13.923,15.8289
233,maze-128-128-10-random-23,2,True,806.1786503498487,11.989230311151891,0.1098,0.1694
234,brc202d-random-25,2,True,399.34439075733553,4.03304607036844,0.2415,0.3127
235,warehouse-10-20-10-2-1-random-9,4,True,250.21152256139385,1.9484952734388234,0.0739,0.096
236,den520d-random-1,15,True,2590.9697407978892,8.473373788755366,2.6183,2.8243
237,random-32-32-20-random-8,100,True,2539.616036064757,0.4688456294228788,0.4993,0.8903
238,den312d-random-18,100,True,5606.950592489208,1.247409048362032,1.3975,2.1503
239,ost003d-random-15,4,True,482.32954750588704,9.405723754151063,0.295,0.3408
240,den312d-random-18,10,True,432.5188808867792,4.520594760790927,0.1041,0.1269
